,soldierId,bestSoldierPerc
0,47734,0.39852258064516144
1,47735,0.39852258064516144
2,47736,0.1431301587301587
3,47737,0.39852258064516144
4,47738,0.39852258064516144
5,47739,0.054006250000000006
6,47740,0.39852258064516144
7,47741,0.27362051282051286
8,47742,0.8433115384615385
9,47743,0.39852258064516144
10,47744,0.6751054945054942
11,47745,0.044396428571428566
12,47746,0.39852258064516144
13,47747,0.39852258064516144
14,47748,0.39852258064516144
15,47749,0.6751054945054942
16,47750,0.8433115384615385
17,47751,0.8433115384615385
18,47752,0.1431301587301587
19,47753,0.9629065217391305
20,47754,0.1431301587301587
21,47755,0.1925875
22,47756,0.1431301587301587
23,47757,0.9629065217391305
24,47758,0.1431301587301587
25,47759,0.39852258064516144
26,47760,0.5790529411764707
27,47761,0.5790529411764707
28,47762,0.8433115384615385
29,47763,0.1111
30,47764,0.8433241379310344
31,47765,0.945495
32,47766,0.39852258064516144
33,47767,0.1925875
34,47768,0.7176761904761905
35,47769,0.1925875
36,47770,0.8433115384615385
37,47771,0.39852258064516144
38,47772,0.8433241379310344
39,47773,0.6751054945054942
40,47774,0.044396428571428566
41,47775,0.1431301587301587
42,47776,0.8926
43,47777,0.5790529411764707
44,47778,0.1925875
45,47779,0.8433115384615385
46,47780,0.5790529411764707
47,47781,0.5790529411764707
48,47782,0.1925875
49,47783,0.9514999999999999
50,47784,0.8433241379310344
51,47785,0.39852258064516144
52,47786,0.1431301587301587
53,47787,0.5790529411764707
54,47788,0.39852258064516144
55,47789,0.1925875
56,47790,0.6751054945054942
57,47791,0.1431301587301587
58,47792,0.8433115384615385
59,47793,0.39852258064516144
60,47794,0.27362051282051286
61,47795,0.8433241379310344
62,47796,0.8433115384615385
63,47797,0.8433115384615385
64,47798,0.39852258064516144
65,47799,0.39852258064516144
66,47800,0.6751054945054942
67,47801,0.6751054945054942
68,47802,0.39852258064516144
69,47803,0.10136666666666666
70,47804,0.5790529411764707
71,47805,0.1925875
72,47806,0.6751054945054942
73,47807,0.39852258064516144
74,47808,0.6869187500000001
75,47809,0.6751054945054942
76,47810,0.054006250000000006
77,47811,0.8926
78,47812,0.39852258064516144
79,47813,0.054006250000000006
80,47814,0.044396428571428566
81,47815,0.6869187500000001
82,47816,0.10136666666666666
83,47817,0.5790529411764707
84,47818,0.5790529411764707
85,47819,0.39852258064516144
86,47820,0.1431301587301587
87,47821,0.8433241379310344
88,47822,0.2770000000000001
89,47823,0.054006250000000006
90,47824,0.2770000000000001
91,47825,0.9629065217391305
92,47826,0.39852258064516144
93,47827,0.2770000000000001
94,47828,0.8433241379310344
95,47829,0.6751054945054942
96,47830,0.6869187500000001
97,47831,0.8433241379310344
98,47832,0.8433241379310344
99,47833,0.6751054945054942
100,47834,0.8433115384615385
101,47835,0.6751054945054942
102,47836,0.39852258064516144
103,47837,0.7176761904761905
104,47838,0.8433115384615385
105,47839,0.6751054945054942
106,47840,0.054006250000000006
107,47841,0.39852258064516144
108,47842,0.8433115384615385
109,47843,0.6751054945054942
110,47844,0.044396428571428566
111,47845,0.6751054945054942
112,47846,0.39852258064516144
113,47847,0.1925875
114,47848,0.01056896551724138
115,47849,0.8433241379310344
116,47850,0.5790529411764707
117,47851,0.8926
118,47852,0.8433241379310344
119,47853,0.04083333333333333
120,47854,0.39852258064516144
121,47855,0.8433115384615385
122,47856,0.39852258064516144
123,47857,0.8433241379310344
124,47858,0.054006250000000006
125,47859,0.8433241379310344
126,47860,0.10136666666666666
127,47861,0.8433115384615385
128,47862,0.945495
129,47863,0.39852258064516144
130,47864,0.044396428571428566
131,47865,0.945495
132,47866,0.2770000000000001
133,47867,0.9514999999999999
