,soldierId,bestSoldierPerc
0,47734,0
1,47735,0
2,47736,0
3,47737,0
4,47738,0
5,47739,0
6,47740,0
7,47741,0
8,47742,0
9,47743,0
10,47744,0
11,47745,0
12,47746,0
13,47747,0
14,47748,0
15,47749,0
16,47750,0
17,47751,0
18,47752,0
19,47753,0
20,47754,0
21,47755,0
22,47756,0
23,47757,0
24,47758,0
25,47759,0
26,47760,0
27,47761,0
28,47762,0
29,47763,0
30,47764,0
31,47765,0
32,47766,0
33,47767,0
34,47768,0
35,47769,0
36,47770,0
37,47771,0
38,47772,0
39,47773,0
40,47774,0
41,47775,0
42,47776,0
43,47777,0
44,47778,0
45,47779,0
46,47780,0
47,47781,0
48,47782,0
49,47783,0
50,47784,0
51,47785,0
52,47786,0
53,47787,0
54,47788,0
55,47789,0
56,47790,0
57,47791,0
58,47792,0
59,47793,0
60,47794,0
61,47795,0
62,47796,0
63,47797,0
64,47798,0
65,47799,0
66,47800,0
67,47801,0
68,47802,0
69,47803,0
70,47804,0
71,47805,0
72,47806,0
73,47807,0
74,47808,0
75,47809,0
76,47810,0
77,47811,0
78,47812,0
79,47813,0
80,47814,0
81,47815,0
82,47816,0
83,47817,0
84,47818,0
85,47819,0
86,47820,0
87,47821,0
88,47822,0
89,47823,0
90,47824,0
91,47825,0
92,47826,0
93,47827,0
94,47828,0
95,47829,0
96,47830,0
97,47831,0
98,47832,0
99,47833,0
100,47834,0
101,47835,0
102,47836,0
103,47837,0
104,47838,0
105,47839,0
106,47840,0
107,47841,0
108,47842,0
109,47843,0
110,47844,0
111,47845,0
112,47846,0
113,47847,0
114,47848,0
115,47849,0
116,47850,0
117,47851,0
118,47852,0
119,47853,0
120,47854,0
121,47855,0
122,47856,0
123,47857,0
124,47858,0
125,47859,0
126,47860,0
127,47861,0
128,47862,0
129,47863,0
130,47864,0
131,47865,0
132,47866,0
133,47867,0
134,47868,0
135,47869,0
136,47870,0
137,47871,0
138,47872,0
139,47873,0
140,47874,0
141,47875,0
142,47876,0
143,47877,0
144,47878,0
145,47879,0
146,47880,0
147,47881,0
148,47882,0
149,47883,0
150,47884,0
151,47885,0
152,47886,0
153,47887,0
154,47888,0
155,47889,0
156,47890,0
157,47891,0
158,47892,0
159,47893,0
160,47894,0
161,47895,0
162,47896,0
163,47897,0
164,47898,0
165,47899,0
166,47900,0
167,47901,0
168,47902,0
169,47903,0
170,47904,0
171,47905,0
172,47906,0
173,47907,0
174,47908,0
175,47909,0
176,47910,0
177,47911,0
178,47912,0
179,47913,0
180,47914,0
181,47915,0
182,47916,0
183,47917,0
184,47918,0
185,47919,0
186,47920,0
187,47921,0
188,47922,0
189,47923,0
190,47924,0
191,47925,0
192,47926,0
193,47927,0
194,47928,0
195,47929,0
196,47930,0
197,47931,0
198,47932,0
199,47933,0
200,47934,0
201,47935,0
202,47936,0
203,47937,0
204,47938,0
205,47939,0
206,47940,0
207,47941,0
208,47942,0
209,47943,0
210,47944,0
211,47945,0
212,47946,0
213,47947,0
214,47948,0
215,47949,0
216,47950,0
217,47951,0
218,47952,0
219,47953,0
220,47954,0
221,47955,0
222,47956,0
223,47957,0
224,47958,0
225,47959,0
226,47960,0
227,47961,0
228,47962,0
229,47963,0
230,47964,0
231,47965,0
232,47966,0
233,47967,0
234,47968,0
235,47969,0
236,47970,0
237,47971,0
238,47972,0
239,47973,0
240,47974,0
241,47975,0
242,47976,0
243,47977,0
244,47978,0
245,47979,0
246,47980,0
247,47981,0
248,47982,0
249,47983,0
250,47984,0
251,47985,0
252,47986,0
253,47987,0
254,47988,0
255,47989,0
256,47990,0
257,47991,0
258,47992,0
259,47993,0
260,47994,0
261,47995,0
262,47996,0
263,47997,0
264,47998,0
265,47999,0
266,48000,0
267,48001,0
268,48002,0
269,48003,0
270,48004,0
271,48005,0
272,48006,0
273,48007,0
274,48008,0
275,48009,0
276,48010,0
277,48011,0
278,48012,0
279,48013,0
280,48014,0
281,48015,0
282,48016,0
283,48017,0
284,48018,0
285,48019,0
286,48020,0
287,48021,0
288,48022,0
289,48023,0
290,48024,0
291,48025,0
292,48026,0
293,48027,0
294,48028,0
295,48029,0
296,48030,0
297,48031,0
298,48032,0
299,48033,0
300,48034,0
301,48035,0
302,48036,0
303,48037,0
304,48038,0
305,48039,0
306,48040,0
307,48041,0
308,48042,0
309,48043,0
310,48044,0
311,48045,0
312,48046,0
313,48047,0
314,48048,0
315,48049,0
316,48050,0
317,48051,0
318,48052,0
319,48053,0
320,48054,0
321,48055,0
322,48056,0
323,48057,0
324,48058,0
325,48059,0
326,48060,0
327,48061,0
328,48062,0
329,48063,0
330,48064,0
331,48065,0
332,48066,0
333,48067,0
334,48068,0
335,48069,0
336,48070,0
337,48071,0
338,48072,0
339,48073,0
340,48074,0
341,48075,0
342,48076,0
343,48077,0
344,48078,0
345,48079,0
346,48080,0
347,48081,0
348,48082,0
349,48083,0
350,48084,0
351,48085,0
352,48086,0
353,48087,0
354,48088,0
355,48089,0
356,48090,0
357,48091,0
358,48092,0
359,48093,0
360,48094,0
361,48095,0
362,48096,0
363,48097,0
364,48098,0
365,48099,0
366,48100,0
367,48101,0
368,48102,0
369,48103,0
370,48104,0
371,48105,0
372,48106,0
373,48107,0
374,48108,0
375,48109,0
376,48110,0
377,48111,0
378,48112,0
379,48113,0
380,48114,0
381,48115,0
382,48116,0
383,48117,0
384,48118,0
385,48119,0
386,48120,0
387,48121,0
388,48122,0
389,48123,0
390,48124,0
391,48125,0
392,48126,0
393,48127,0
394,48128,0
395,48129,0
396,48130,0
397,48131,0
398,48132,0
399,48133,0
400,48134,0
401,48135,0
402,48136,0
403,48137,0
404,48138,0
405,48139,0
406,48140,0
407,48141,0
408,48142,0
409,48143,0
410,48144,0
411,48145,0
412,48146,0
413,48147,0
414,48148,0
415,48149,0
416,48150,0
417,48151,0
418,48152,0
419,48153,0
420,48154,0
421,48155,0
422,48156,0
423,48157,0
424,48158,0
425,48159,0
426,48160,0
427,48161,0
428,48162,0
429,48163,0
430,48164,0
431,48165,0
432,48166,0
433,48167,0
434,48168,0
435,48169,0
436,48170,0
437,48171,0
438,48172,0
439,48173,0
440,48174,0
441,48175,0
442,48176,0
443,48177,0
444,48178,0
445,48179,0
446,48180,0
447,48181,0
448,48182,0
449,48183,0
450,48184,0
451,48185,0
452,48186,0
453,48187,0
454,48188,0
455,48189,0
456,48190,0
457,48191,0
458,48192,0
459,48193,0
460,48194,0
461,48195,0
462,48196,0
463,48197,0
464,48198,0
465,48199,0
466,48200,0
467,48201,0
468,48202,0
469,48203,0
470,48204,0
471,48205,0
472,48206,0
473,48207,0
474,48208,0
475,48209,0
476,48210,0
477,48211,0
478,48212,0
479,48213,0
480,48214,0
481,48215,0
482,48216,0
483,48217,0
484,48218,0
485,48219,0
486,48220,0
487,48221,0
488,48222,0
489,48223,0
490,48224,0
491,48225,0
492,48226,0
493,48227,0
494,48228,0
495,48229,0
496,48230,0
497,48231,0
498,48232,0
499,48233,0
500,48234,0
501,48235,0
502,48236,0
503,48237,0
504,48238,0
505,48239,0
506,48240,0
507,48241,0
508,48242,0
509,48243,0
510,48244,0
511,48245,0
512,48246,0
513,48247,0
514,48248,0
515,48249,0
516,48250,0
517,48251,0
518,48252,0
519,48253,0
520,48254,0
521,48255,0
522,48256,0
523,48257,0
524,48258,0
525,48259,0
526,48260,0
527,48261,0
528,48262,0
529,48263,0
530,48264,0
531,48265,0
532,48266,0
533,48267,0
534,48268,0
535,48269,0
536,48270,0
537,48271,0
538,48272,0
539,48273,0
540,48274,0
541,48275,0
542,48276,0
543,48277,0
544,48278,0
545,48279,0
546,48280,0
547,48281,0
548,48282,0
549,48283,0
550,48284,0
551,48285,0
552,48286,0
553,48287,0
554,48288,0
555,48289,0
556,48290,0
557,48291,0
558,48292,0
559,48293,0
560,48294,0
561,48295,0
562,48296,0
563,48297,0
564,48298,0
565,48299,0
566,48300,0
567,48301,0
568,48302,0
569,48303,0
570,48304,0
571,48305,0
572,48306,0
573,48307,0
574,48308,0
575,48309,0
576,48310,0
577,48311,0
578,48312,0
579,48313,0
580,48314,0
581,48315,0
582,48316,0
583,48317,0
584,48318,0
585,48319,0
586,48320,0
587,48321,0
588,48322,0
589,48323,0
590,48324,0
591,48325,0
592,48326,0
593,48327,0
594,48328,0
595,48329,0
596,48330,0
597,48331,0
598,48332,0
599,48333,0
600,48334,0
601,48335,0
602,48336,0
603,48337,0
604,48338,0
605,48339,0
606,48340,0
607,48341,0
608,48342,0
609,48343,0
610,48344,0
611,48345,0
612,48346,0
613,48347,0
614,48348,0
615,48349,0
616,48350,0
617,48351,0
618,48352,0
619,48353,0
620,48354,0
621,48355,0
622,48356,0
623,48357,0
624,48358,0
625,48359,0
626,48360,0
627,48361,0
628,48362,0
629,48363,0
630,48364,0
631,48365,0
632,48366,0
633,48367,0
634,48368,0
635,48369,0
636,48370,0
637,48371,0
638,48372,0
639,48373,0
640,48374,0
641,48375,0
642,48376,0
643,48377,0
644,48378,0
645,48379,0
646,48380,0
647,48381,0
648,48382,0
649,48383,0
650,48384,0
651,48385,0
652,48386,0
653,48387,0
654,48388,0
655,48389,0
656,48390,0
657,48391,0
658,48392,0
659,48393,0
660,48394,0
661,48395,0
662,48396,0
663,48397,0
664,48398,0
665,48399,0
666,48400,0
667,48401,0
668,48402,0
669,48403,0
670,48404,0
671,48405,0
672,48406,0
673,48407,0
674,48408,0
675,48409,0
676,48410,0
677,48411,0
678,48412,0
679,48413,0
680,48414,0
